Дата,Kлики,Показы,CTR,Позиция
2026-01-18,0,11,0%,8.2
2026-01-19,0,15,0%,8
2026-01-20,0,11,0%,9.2
2026-01-21,0,5,0%,8.6
2026-01-22,1,7,14.29%,7.7
2026-01-23,3,12,25%,5.6
2026-01-24,2,7,28.57%,1
2026-01-25,3,14,21.43%,4.4
2026-01-26,0,2,0%,7
2026-01-27,0,19,0%,9.7
2026-01-28,0,16,0%,11.1
2026-01-29,0,23,0%,9.2
2026-01-30,1,18,5.56%,10.1
2026-01-31,1,14,7.14%,9.6
2026-02-01,2,11,18.18%,11.8
2026-02-02,3,25,12%,15
2026-02-03,4,29,13.79%,12.4
2026-02-04,2,18,11.11%,7.1
2026-02-05,1,26,3.85%,27
2026-02-06,2,28,7.14%,22.6
2026-02-07,2,14,14.29%,9.9
2026-02-08,0,27,0%,31.1
2026-02-09,1,27,3.7%,30.3
2026-02-10,3,16,18.75%,12.8
2026-02-11,1,25,4%,6.8
2026-02-12,0,20,0%,32.6
2026-02-13,3,17,17.65%,20.8
2026-02-14,1,13,7.69%,28.7
2026-02-15,2,27,7.41%,36.7
2026-02-16,1,17,5.88%,40.1
2026-02-17,3,20,15%,13.8
2026-02-18,0,24,0%,35.2
2026-02-19,1,15,6.67%,21.1
2026-02-20,1,24,4.17%,13.2
2026-02-21,2,23,8.7%,32
2026-02-22,0,21,0%,36
2026-02-23,0,22,0%,28.5
2026-02-24,4,23,17.39%,27.9
2026-02-25,0,14,0%,21.9
2026-02-26,2,21,9.52%,18.2
2026-02-27,1,23,4.35%,35.1
2026-02-28,0,10,0%,34.8
2026-03-01,1,20,5%,56.5
2026-03-02,2,28,7.14%,34.6
2026-03-03,1,15,6.67%,23.7
2026-03-04,0,16,0%,11.9
2026-03-05,1,13,7.69%,21.3
2026-03-06,0,13,0%,13.2
2026-03-07,1,21,4.76%,12
2026-03-08,1,37,2.7%,27.4
2026-03-09,3,22,13.64%,18.6
2026-03-10,1,17,5.88%,17.5
2026-03-11,1,28,3.57%,14.4
2026-03-12,1,22,4.55%,18.8
2026-03-13,1,20,5%,15.6
2026-03-14,3,24,12.5%,23.7
2026-03-15,1,34,2.94%,21
2026-03-16,2,29,6.9%,25.6
2026-03-17,2,19,10.53%,25.2
2026-03-18,2,14,14.29%,17.6
2026-03-19,1,14,7.14%,14.4
2026-03-20,3,18,16.67%,21.2
2026-03-21,2,17,11.76%,18.5
2026-03-22,1,22,4.55%,29.5
2026-03-23,0,25,0%,26
2026-03-24,1,7,14.29%,18.1
2026-03-25,1,12,8.33%,11.4
2026-03-26,2,23,8.7%,10.5
2026-03-27,1,20,5%,8.8
2026-03-28,1,8,12.5%,10.2
2026-03-29,0,15,0%,20.3
2026-03-30,3,17,17.65%,18.1
2026-03-31,1,10,10%,13.5
2026-04-01,2,16,12.5%,17.8
2026-04-02,1,9,11.11%,26
2026-04-03,2,17,11.76%,17.1
2026-04-04,1,12,8.33%,30.5
2026-04-05,0,17,0%,20.3
2026-04-06,1,22,4.55%,22.5
2026-04-07,1,18,5.56%,17.1
2026-04-08,1,16,6.25%,12.5
2026-04-09,2,17,11.76%,19.6
2026-04-10,1,19,5.26%,15.3
2026-04-11,2,17,11.76%,14.2
2026-04-12,2,26,7.69%,22
2026-04-13,1,16,6.25%,25.1
2026-04-14,4,18,22.22%,15.9
2026-04-15,1,17,5.88%,18.5
2026-04-16,0,34,0%,23
2026-04-17,4,29,13.79%,14.2