Страна,Kлики,Показы,CTR,Позиция
Украина,102,1421,7.18%,22.07
Германия,4,28,14.29%,7.39
Польша,2,49,4.08%,19.14
Испания,2,7,28.57%,7.86
Литва,2,4,50%,7.75
США,1,25,4%,8.4
Нидерланды,1,13,7.69%,6.08
Франция,1,9,11.11%,5.56
Хорватия,1,7,14.29%,10.29
Словакия,1,5,20%,8.2
Швеция,1,3,33.33%,5.67
Венгрия,1,2,50%,5.5
Перу,1,1,100%,1
Великобритания,0,13,0%,8.46
Чехия,0,9,0%,7.11
Италия,0,9,0%,13.78
Дания,0,7,0%,4.57
Индия,0,6,0%,5.33
Бельгия,0,4,0%,8.5
Австралия,0,4,0%,8.75
Португалия,0,4,0%,12.5
Чили,0,4,0%,15
Канада,0,4,0%,18
Вьетнам,0,4,0%,32.25
Филиппины,0,3,0%,4
Болгария,0,3,0%,7
Австрия,0,3,0%,9.33
Ирландия,0,2,0%,3
Китай,0,2,0%,4.5
Южная Корея,0,2,0%,7.5
Финляндия,0,2,0%,9.5
Таиланд,0,2,0%,27
Бразилия,0,1,0%,1
Коста-Рика,0,1,0%,2
Египет,0,1,0%,4
Неизвестный регион,0,1,0%,9
Гонконг,0,1,0%,10
Грузия,0,1,0%,11
Эстония,0,1,0%,12
Камбоджа,0,1,0%,12
Норвегия,0,1,0%,15
Словения,0,1,0%,16
Нигерия,0,1,0%,30
Южная Африка,0,1,0%,30
Колумбия,0,1,0%,35